# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
เอาแต่	14	7	เอาแต่	เอาแต่:7 เอา|แต่:7	train=14
ใช่ไหม	534	6	ใช่|ไหม	ใช่|ไหม:528 ใช่ไหม:6	test=5,train=520,val=9
แล้วก็	223	6	แล้ว|ก็	แล้ว|ก็:217 แล้วก็:6	test=1,train=218,val=4
ดูดี	85	6	ดู|ดี	ดู|ดี:79 ดูดี:6	train=84,val=1
รู้เรื่อง	81	6	รู้เรื่อง	รู้เรื่อง:75 รู้|เรื่อง:6	train=79,val=2
แล้วกัน	70	6	แล้วกัน	แล้วกัน:64 แล้ว|กัน:6	train=68,val=2
พวกเจ้า	54	6	พวกเจ้า	พวกเจ้า:48 พวก|เจ้า:6	test=3,train=50,val=1
ไอ้บ้า	50	6	ไอ้|บ้า	ไอ้|บ้า:44 ไอ้บ้า:6	train=49,val=1
ครั้งแรก	49	6	ครั้ง|แรก	ครั้ง|แรก:43 ครั้งแรก:6	train=49
ทั้งสอง	47	6	ทั้งสอง	ทั้งสอง:41 ทั้ง|สอง:6	train=47
หรือว่า	47	6	หรือว่า	หรือว่า:41 หรือ|ว่า:6	train=47
เร็วกว่า	27	6	เร็ว|กว่า	เร็ว|กว่า:21 เร็วกว่า:6	train=27
อยู่ดี	24	6	อยู่ดี	อยู่ดี:18 อยู่|ดี:6	train=24
คนดู	23	6	คนดู	คนดู:17 คน|ดู:6	train=23
พวกเค้า	21	6	พวก|เค้า	พวก|เค้า:15 พวกเค้า:6	train=20,val=1
อาทิตย์หน้า	20	6	อาทิตย์|หน้า	อาทิตย์|หน้า:14 อาทิตย์หน้า:6	train=20
ได้เรื่อง	20	6	ได้เรื่อง	ได้เรื่อง:14 ได้|เรื่อง:6	test=1,train=19
ผ่านมา	19	6	ผ่านมา	ผ่านมา:13 ผ่าน|มา:6	test=1,train=18
ร่วมกัน	19	6	ร่วมกัน	ร่วมกัน:13 ร่วม|กัน:6	train=19
ตอนบ่าย	18	6	ตอน|บ่าย	ตอน|บ่าย:12 ตอนบ่าย:6	train=18
คุณนายฉั่น	17	6	คุณนาย|ฉั่น	คุณนาย|ฉั่น:11 คุณนายฉั่น:6	train=17
พูดจา	17	6	พูด|จา	พูด|จา:11 พูดจา:6	train=16,val=1
ตอบตกลง	13	6	ตอบ|ตกลง	ตอบ|ตกลง:7 ตอบตกลง:6	train=13
แค่นั้นแหละ	13	6	แค่|นั้น|แหละ	แค่|นั้น|แหละ:7 แค่นั้น|แหละ:5 แค่นั้นแหละ:1	test=1,train=12
ไม่มี	1513	5	ไม่|มี	ไม่|มี:1508 ไม่มี:5	test=20,train=1481,val=12
พวกเขา	793	5	พวกเขา	พวกเขา:788 พวก|เขา:5	test=8,train=781,val=4
ไม่เป็นไร	325	5	ไม่เป็นไร	ไม่เป็นไร:320 ไม่|เป็นไร:5	test=4,train=318,val=3
ตกลง	191	5	ตกลง	ตกลง:186 ตก|ลง:5	test=2,train=188,val=1
เอาล่ะ	145	5	เอาล่ะ	เอาล่ะ:140 เอา|ล่ะ:5	test=1,train=142,val=2
เป็นไป	120	5	เป็น|ไป	เป็น|ไป:115 เป็นไป:5	test=2,train=117,val=1
เกิดขึ้น	100	5	เกิดขึ้น	เกิดขึ้น:95 เกิด|ขึ้น:5	train=100
ไอ้มาก	64	5	ไอ้|มาก	ไอ้|มาก:59 ไอ้มาก:5	train=63,val=1
ทางนั้น	47	5	ทาง|นั้น	ทาง|นั้น:42 ทางนั้น:5	train=46,val=1
อื่นๆ	38	5	อื่น|ๆ	อื่น|ๆ:33 อื่นๆ:5	test=1,train=36,val=1
นี่เอง	32	5	นี่|เอง	นี่|เอง:27 นี่เอง:5	train=30,val=2
ยกโทษ	28	5	ยก|โทษ	ยก|โทษ:23 ยกโทษ:5	train=28
ผู้นำ	23	5	ผู้นำ	ผู้นำ:18 ผู้|นำ:5	train=23
แป๊บนึง	22	5	แป๊บ|นึง	แป๊บ|นึง:17 แป๊บนึง:5	train=22
ยอดมาก	19	5	ยอดมาก	ยอดมาก:14 ยอด|มาก:5	train=19
หายตัว	19	5	หาย|ตัว	หาย|ตัว:14 หายตัว:5	train=18,val=1
อีกรอบ	19	5	อีกรอบ	อีกรอบ:14 อีก|รอบ:5	train=19
เอาอีก	17	5	เอา|อีก	เอา|อีก:12 เอาอีก:5	test=1,train=15,val=1
แน่นะ	16	5	แน่|นะ	แน่|นะ:11 แน่นะ:4 แน่น|ะ:1	train=16
ตรวจดู	15	5	ตรวจดู	ตรวจดู:10 ตรวจ|ดู:5	train=15
หาเรื่อง	14	5	หา|เรื่อง	หา|เรื่อง:9 หาเรื่อง:5	train=13,val=1
การฝึก	13	5	การฝึก	การฝึก:8 การ|ฝึก:5	train=13
คนบ้า	12	5	คน|บ้า	คน|บ้า:7 คนบ้า:5	train=12
หยุดยิง	12	5	หยุด|ยิง	หยุด|ยิง:7 หยุดยิง:5	test=1,train=11
ชั้นบน	11	5	ชั้นบน	ชั้นบน:6 ชั้น|บน:5	train=11
ปวดหัว	11	5	ปวดหัว	ปวดหัว:6 ปวด|หัว:5	train=11
เกือบจะ	11	5	เกือบจะ	เกือบจะ:6 เกือบ|จะ:5	train=11
เมืองนอก	11	5	เมือง|นอก	เมือง|นอก:6 เมืองนอก:5	train=11
คนแปลกหน้า	10	5	คนแปลกหน้า	คนแปลกหน้า:5 คน|แปลกหน้า:5	train=10
ตรงเวลา	10	5	ตรงเวลา	ตรงเวลา:5 ตรง|เวลา:5	train=10
อยู่ไหน	379	4	อยู่|ไหน	อยู่|ไหน:375 อยู่ไหน:4	test=2,train=374,val=3
เร็วเข้า	290	4	เร็ว|เข้า	เร็ว|เข้า:286 เร็วเข้า:4	test=1,train=286,val=3
พวกนี้	155	4	พวก|นี้	พวก|นี้:151 พวกนี้:4	test=2,train=153
หรือไม่	134	4	หรือ|ไม่	หรือ|ไม่:130 หรือไม่:4	test=1,train=132,val=1
นั่นแหละ	119	4	นั่นแหละ	นั่นแหละ:115 นั่น|แหละ:4	test=2,train=117
พูดถึง	103	4	พูด|ถึง	พูด|ถึง:99 พูดถึง:4	test=1,train=102
แน่ๆ	101	4	แน่ๆ	แน่ๆ:97 แน่|ๆ:4	train=101
ขึ้นไป	99	4	ขึ้น|ไป	ขึ้น|ไป:95 ขึ้นไป:4	test=2,train=95,val=2
ออกจาก	91	4	ออก|จาก	ออก|จาก:87 ออกจาก:4	test=1,train=88,val=2
ขนาดนั้น	71	4	ขนาด|นั้น	ขนาด|นั้น:67 ขนาดนั้น:4	train=70,val=1
อีกที	60	4	อีกที	อีกที:56 อีก|ที:4	train=59,val=1
ในนี้	58	4	ใน|นี้	ใน|นี้:54 ในนี้:4	test=1,train=56,val=1
มาตลอด	57	4	มา|ตลอด	มา|ตลอด:53 มาตลอด:4	test=1,train=55,val=1
หมอนี่	35	4	หมอนี่	หมอนี่:31 หมอ|นี่:4	train=35
ใจดี	32	4	ใจดี	ใจดี:28 ใจ|ดี:4	train=30,val=2
แล้วแต่	30	4	แล้วแต่	แล้วแต่:26 แล้ว|แต่:4	test=2,train=28
เตรียมตัว	29	4	เตรียม|ตัว	เตรียม|ตัว:25 เตรียมตัว:4	train=29
คนขับ	28	4	คน|ขับ	คน|ขับ:24 คนขับ:4	train=28
จนถึง	27	4	จน|ถึง	จน|ถึง:23 จนถึง:4	train=27
นั้นแหละ	27	4	นั้น|แหละ	นั้น|แหละ:23 นั้นแหละ:4	test=1,train=26
เสียสติ	27	4	เสีย|สติ	เสีย|สติ:23 เสียสติ:4	test=1,train=26
บอกลา	26	4	บอก|ลา	บอก|ลา:22 บอกลา:4	train=26
คนสวย	22	4	คน|สวย	คน|สวย:18 คนสวย:4	train=22
วันหนึ่ง	22	4	วันหนึ่ง	วันหนึ่ง:18 วัน|หนึ่ง:4	train=22
หลังจากนั้น	22	4	หลังจากนั้น	หลังจากนั้น:18 หลังจาก|นั้น:4	test=1,train=21
ที่ทำงาน	20	4	ที่|ทำ|งาน	ที่|ทำ|งาน:16 ที่ทำงาน:4	train=20
โทรเลข	19	4	โทรเลข	โทรเลข:15 โทร|เลข:4	train=19
มักจะ	18	4	มัก|จะ	มัก|จะ:14 มักจะ:4	train=18
สักวัน	18	4	สักวัน	สักวัน:14 สัก|วัน:4	train=18
อารมณ์เสีย	17	4	อารมณ์เสีย	อารมณ์เสีย:13 อารมณ์|เสีย:4	train=17
ตัวน้อย	16	4	ตัวน้อย	ตัวน้อย:12 ตัว|น้อย:4	train=15,val=1
ฝันดี	15	4	ฝันดี	ฝันดี:11 ฝัน|ดี:4	train=15
ลาออก	15	4	ลาออก	ลาออก:11 ลา|ออก:4	train=15
เอาเถอะ	15	4	เอาเถอะ	เอาเถอะ:11 เอา|เถอะ:4	test=1,train=14
คนขาย	14	4	คน|ขาย	คน|ขาย:10 คนขาย:4	train=14
ปีก่อน	14	4	ปี|ก่อน	ปี|ก่อน:10 ปีก่อน:4	train=14
สีเหลือง	14	4	สีเหลือง	สีเหลือง:10 สี|เหลือง:4	train=14
ไอ้น้อง	14	4	ไอ้|น้อง	ไอ้|น้อง:10 ไอ้น้อง:4	train=14
ด้วยดี	13	4	ด้วย|ดี	ด้วย|ดี:9 ด้วยดี:4	train=13
ที่นอน	13	4	ที่นอน	ที่นอน:9 ที่|นอน:4	train=13
นักมวยปล้ำ	13	4	นักมวยปล้ำ	นักมวยปล้ำ:9 นัก|มวยปล้ำ:4	test=1,train=12
ยัยหนู	13	4	ยัย|หนู	ยัย|หนู:9 ยัยหนู:4	train=13
เข้าไว้	13	4	เข้า|ไว้	เข้า|ไว้:9 เข้าไว้:4	train=13
เฝ้าดู	13	4	เฝ้าดู	เฝ้าดู:9 เฝ้า|ดู:4	train=13
ก้มลง	12	4	ก้ม|ลง	ก้ม|ลง:8 ก้มลง:4	train=11,val=1
ตรงโน้น	12	4	ตรง|โน้น	ตรง|โน้น:8 ตรงโน้น:4	train=11,val=1
นั่นเอง	12	4	นั่น|เอง	นั่น|เอง:8 นั่นเอง:4	train=12
สมัยนี้	12	4	สมัย|นี้	สมัย|นี้:8 สมัยนี้:4	test=1,train=11
ไม่ช้า	12	4	ไม่|ช้า	ไม่|ช้า:8 ไม่ช้า:4	train=11,val=1
รถชน	11	4	รถ|ชน	รถ|ชน:7 รถชน:4	test=1,train=9,val=1
ลูกเดียว	11	4	ลูกเดียว	ลูกเดียว:7 ลูก|เดียว:4	train=11
หาว่า	11	4	หาว่า	หาว่า:7 หา|ว่า:4	train=11
เพื่อนรัก	11	4	เพื่อนรัก	เพื่อนรัก:7 เพื่อน|รัก:4	train=11
กวนใจ	10	4	กวนใจ	กวนใจ:6 กวน|ใจ:4	train=10
คืนนั้น	10	4	คืนนั้น	คืนนั้น:6 คืน|นั้น:4	train=10
ตอบว่า	10	4	ตอบว่า	ตอบว่า:6 ตอบ|ว่า:4	train=10
มอบตัว	10	4	มอบ|ตัว	มอบ|ตัว:6 มอบตัว:4	train=10
ยังไงก็ตาม	10	4	ยังไงก็ตาม	ยังไงก็ตาม:6 ยังไง|ก็|ตาม:4	train=10
แทนที่จะ	10	4	แทนที่จะ	แทนที่จะ:6 แทน|ที่|จะ:4	train=10
ใดๆ	10	4	ใด|ๆ	ใด|ๆ:6 ใดๆ:4	train=10
ไฮล์ฮิตเลอร์	10	4	ไฮล์|ฮิตเลอร์	ไฮล์|ฮิตเลอร์:6 ไฮล์ฮิตเลอร์:4	train=10
ก่อนหน้านี้	9	4	ก่อนหน้านี้	ก่อนหน้านี้:5 ก่อนหน้า|นี้:4	train=9
คนเลว	9	4	คน|เลว	คน|เลว:5 คนเลว:4	train=9
ต้องสงสัย	9	4	ต้องสงสัย	ต้องสงสัย:5 ต้อง|สงสัย:4	train=9
นำเข้า	9	4	นำเข้า	นำเข้า:5 นำ|เข้า:4	train=9
พบเห็น	9	4	พบ|เห็น	พบ|เห็น:5 พบเห็น:4	train=9
พากัน	9	4	พากัน	พากัน:5 พา|กัน:4	train=9
รวมตัว	9	4	รวม|ตัว	รวม|ตัว:5 รวมตัว:4	test=1,train=8
รอดชีวิต	9	4	รอดชีวิต	รอดชีวิต:5 รอด|ชีวิต:4	train=9
สีม่วง	9	4	สี|ม่วง	สี|ม่วง:5 สีม่วง:4	train=9
แต่ก่อน	9	4	แต่|ก่อน	แต่|ก่อน:5 แต่ก่อน:4	train=9
แทนที่	9	4	แทน|ที่	แทน|ที่:5 แทนที่:4	train=9
ขอล่ะ	8	4	ขอล่ะ	ขอล่ะ:4 ขอ|ล่ะ:4	train=8
ออกเดินทาง	8	4	ออก|เดินทาง	ออก|เดินทาง:4 ออกเดินทาง:4	train=8
เป็นอัน	8	4	เป็นอัน	เป็นอัน:4 เป็น|อัน:4	train=8
ออกไป	501	3	ออก|ไป	ออก|ไป:498 ออกไป:3	test=4,train=496,val=1
สบายดี	175	3	สบายดี	สบายดี:172 สบาย|ดี:3	test=7,train=167,val=1
มีความสุข	127	3	มี|ความสุข	มี|ความสุข:124 มีความสุข:3	test=1,train=124,val=2
แต่ว่า	66	3	แต่ว่า	แต่ว่า:63 แต่|ว่า:3	train=64,val=2
ที่มา	63	3	ที่|มา	ที่|มา:60 ที่มา:3	train=63
ที่บ้าน	62	3	ที่|บ้าน	ที่|บ้าน:59 ที่บ้าน:3	test=1,train=61
คราวนี้	57	3	คราวนี้	คราวนี้:54 คราว|นี้:3	train=57
วันที่	47	3	วัน|ที่	วัน|ที่:44 วันที่:3	train=47
ดีล่ะ	32	3	ดี|ล่ะ	ดี|ล่ะ:29 ดีล่ะ:3	train=32
แท้ๆ	32	3	แท้ๆ	แท้ๆ:29 แท้|ๆ:3	test=1,train=31
เดินเล่น	28	3	เดิน|เล่น	เดิน|เล่น:25 เดินเล่น:3	test=1,train=27
ถ้างั้น	27	3	ถ้า|งั้น	ถ้า|งั้น:24 ถ้างั้น:3	train=27
ทางไหน	25	3	ทาง|ไหน	ทาง|ไหน:22 ทางไหน:3	test=1,train=24
ก็ตาม	24	3	ก็|ตาม	ก็|ตาม:21 ก็ตาม:3	train=24
บ้าจริง	24	3	บ้าจริง	บ้าจริง:21 บ้า|จริง:3	train=24
ลูกหมา	23	3	ลูก|หมา	ลูก|หมา:20 ลูกหมา:3	test=1,train=21,val=1
ท่านอาจารย์	21	3	ท่าน|อาจารย์	ท่าน|อาจารย์:18 ท่านอาจารย์:3	train=21
ทุกที่	20	3	ทุกที่	ทุกที่:17 ทุก|ที่:3	test=1,train=19
คนรัก	19	3	คนรัก	คนรัก:16 คน|รัก:3	train=18,val=1
ที่ว่า	19	3	ที่|ว่า	ที่|ว่า:16 ที่ว่า:3	train=18,val=1
พ่อหนุ่ม	19	3	พ่อ|หนุ่ม	พ่อ|หนุ่ม:16 พ่อหนุ่ม:3	train=19
เอาจริง	19	3	เอาจริง	เอาจริง:16 เอา|จริง:3	train=19
คนแก่	18	3	คนแก่	คนแก่:15 คน|แก่:3	train=18
มองดู	18	3	มอง|ดู	มอง|ดู:15 มองดู:3	train=17,val=1
จากกัน	17	3	จาก|กัน	จาก|กัน:14 จากกัน:3	train=16,val=1
ใครบางคน	17	3	ใคร|บางคน	ใคร|บางคน:14 ใครบางคน:3	train=17
กับข้าว	16	3	กับข้าว	กับข้าว:13 กับ|ข้าว:3	train=16
ท่านเยียน	16	3	ท่านเยียน	ท่านเยียน:13 ท่าน|เยียน:3	train=16
อย่างเดียว	16	3	อย่างเดียว	อย่างเดียว:13 อย่าง|เดียว:3	train=16
เดินหน้า	16	3	เดินหน้า	เดินหน้า:13 เดิน|หน้า:3	train=16
ต่อให้	15	3	ต่อให้	ต่อให้:12 ต่อ|ให้:3	train=15
เอาแล้ว	15	3	เอา|แล้ว	เอา|แล้ว:12 เอาแล้ว:3	train=15
ตลอดชีวิต	14	3	ตลอด|ชีวิต	ตลอด|ชีวิต:11 ตลอดชีวิต:3	train=14
หัวมัน	14	3	หัว|มัน	หัว|มัน:11 หัวมัน:3	train=14
ขอย้ำ	13	3	ขอย้ำ	ขอย้ำ:10 ขอ|ย้ำ:3	test=1,train=12
ชาวยิว	13	3	ชาว|ยิว	ชาว|ยิว:10 ชาวยิว:3	train=13
เป็นเกียรติ	13	3	เป็น|เกียรติ	เป็น|เกียรติ:10 เป็นเกียรติ:3	train=13
ทั้งที่	12	3	ทั้งที่	ทั้งที่:9 ทั้ง|ที่:3	train=12
