# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
에서도	32	15	에서도	에서도:17 에서|도:14 에|서|도:1	train=30,val=2
건가	302	14	건가	건가:288 건|가:14	test=4,train=296,val=2
것처럼	39	13	것|처럼	것|처럼:26 것처럼:13	train=39
뭐냐	55	12	뭐|냐	뭐|냐:43 뭐냐:12	train=54,val=1
말이야	241	11	말|이야	말|이야:230 말이야:11	test=3,train=234,val=4
뭐요	46	11	뭐|요	뭐|요:35 뭐요:11	train=46
.	24947	10	.	.:24937 .|:4 .||:4 .|||:2	test=217,train=24509,val=221
걸까	61	10	걸까	걸까:51 걸|까:10	train=61
대가	34	10	대가	대가:24 대|가:10	train=34
뭐로	23	10	뭐|로	뭐|로:13 뭐로:10	train=23
위로	40	9	위로	위로:31 위|로:9	test=1,train=38,val=1
프로도	27	9	프로|도	프로|도:18 프로도:9	train=27
V-	26	9	V|-	V|-:17 V-:9	train=26
할거야	18	9	할|거|야	할|거|야:9 할거|야:7 할거야:2	test=1,train=17
에도	86	8	에|도	에|도:78 에도:8	train=86
자식아	40	8	자식아	자식아:32 자식|아:8	test=1,train=39
말이다	32	8	말|이다	말|이다:24 말이다:8	train=32
와도	19	8	와도	와도:11 와|도:8	train=19
!	22202	7	!	!:22195 !|:3 !||:1 !|||:1 !||||:1 !|||||:1	test=211,train=21780,val=211
어디서	312	7	어디|서	어디|서:305 어디서:7	test=2,train=304,val=6
말이죠	35	7	말|이죠	말|이죠:28 말이죠:7	train=35
뭐니	28	7	뭐|니	뭐|니:21 뭐니:7	train=27,val=1
누구요	24	7	누구요	누구요:17 누구|요:7	train=24
로는	21	7	로|는	로|는:14 로는:7	test=1,train=20
에서요	21	7	에서요	에서요:14 에서|요:7	train=21
할거	18	7	할|거	할|거:11 할거:7	test=1,train=17
거면	15	7	거|면	거|면:8 거면:7	train=15
아들아	15	7	아들아	아들아:8 아들|아:7	train=15
말로	14	7	말로	말로:7 말|로:7	test=1,train=12,val=1
뭐라고	295	6	뭐라고	뭐라고:289 뭐|라고:6	test=7,train=285,val=3
인가요?	279	6	인가요|?	인가요|?:273 인가요?:1 인가요?|:1 인가요?||:1 인가요?|||:1 인가요?||||:1 인가요?|||||:1	test=1,train=276,val=2
에요	132	6	에요	에요:126 에|요:6	train=129,val=3
으로는	68	6	으로|는	으로|는:62 으로는:6	train=66,val=2
왜요	54	6	왜요	왜요:48 왜|요:6	test=1,train=52,val=1
처음부터	24	6	처음|부터	처음|부터:18 처음부터:6	train=24
거라	22	6	거라	거라:16 거|라:6	train=22
으로요	17	6	으로요	으로요:11 으로|요:6	train=17
제게	17	6	제|게	제|게:11 제게:6	train=17
자도	13	6	자도	자도:7 자|도:6	test=1,train=12
어디든	12	6	어디든	어디든:6 어디|든:6	train=12
잠깐만	99	5	잠깐만	잠깐만:94 잠깐|만:5	train=97,val=2
다시는	35	5	다시|는	다시|는:30 다시는:5	train=35
더는	21	5	더|는	더|는:16 더는:5	test=1,train=20
지금까지	21	5	지금|까지	지금|까지:16 지금까지:5	test=1,train=20
꺼야	17	5	꺼|야	꺼|야:12 꺼야:5	train=17
걸요	14	5	걸요	걸요:9 걸|요:5	train=14
로만	14	5	로만	로만:9 로|만:5	train=14
아가야	13	5	아가야	아가야:8 아가|야:5	train=12,val=1
시야	12	5	시야	시야:7 시|야:5	train=12
지는	12	5	지는	지는:7 지|는:5	train=12
말고는	11	5	말고는	말고는:6 말고|는:5	train=10,val=1
멀리서	11	5	멀리서	멀리서:6 멀리|서:5	train=11
된거	10	5	된|거	된|거:5 된거:5	train=10
뿐이오!	6	5	뿐이오!	뿐이오!:1 뿐이오!|:1 뿐이오!||:1 뿐이오!|||:1 뿐이오!||||:1 뿐이오!|||||:1	train=6
에는	2039	4	에|는	에|는:2035 에는:4	test=10,train=2016,val=13
전에	195	4	전|에	전|에:191 전에:4	test=2,train=193
가?	169	4	가|?	가|?:165 가?:1 가?|:1 가?||:1 가?|||:1	test=2,train=165,val=2
저는	92	4	저|는	저|는:88 저는:4	test=1,train=89,val=2
화가	41	4	화|가	화|가:37 화가:4	train=41
들은	35	4	들은	들은:31 들|은:4	train=35
거라도	29	4	거|라도	거|라도:25 거라도:4	train=28,val=1
놈아	28	4	놈|아	놈|아:24 놈아:4	train=28
입을	28	4	입|을	입|을:24 입을:4	train=28
차는	28	4	차|는	차|는:24 차는:4	train=27,val=1
적은	27	4	적|은	적|은:23 적은:4	train=27
혼자서	26	4	혼자서	혼자서:22 혼자|서:4	train=26
부를	19	4	부를	부를:15 부|를:4	train=19
건요	17	4	건요	건요:13 건|요:4	train=17
속을	17	4	속|을	속|을:13 속을:4	train=16,val=1
수로	15	4	수|로	수|로:11 수로:4	train=15
순식간에	12	4	순식간|에	순식간|에:8 순식간에:4	train=12
여기요	12	4	여기요	여기요:8 여기|요:4	train=12
뭐였죠	11	4	뭐|였죠	뭐|였죠:7 뭐였죠:3 뭐|였|죠:1	train=10,val=1
얘기도	11	4	얘기도	얘기도:7 얘기|도:3 얘|기|도:1	test=1,train=10
지가	11	4	지|가	지|가:7 지가:4	train=11
보다는	10	4	보다는	보다는:6 보다|는:4	train=10
향숙이	10	4	향숙이	향숙이:6 향숙|이:4	train=10
뭐냐고	9	4	뭐냐고	뭐냐고:5 뭐|냐고:4	train=9
서는	9	4	서|는	서|는:5 서는:4	train=9
-지	8	4	-지	-지:4 -|지:4	train=8
갈거야	8	4	갈|거|야	갈|거|야:4 갈거야:2 갈거|야:2	train=6,val=2
시가	8	4	시가	시가:4 시|가:4	train=8
저기야	8	4	저기|야	저기|야:4 저기야:4	train=8
처음으로	8	4	처음|으로	처음|으로:4 처음으로:4	train=8
하나씩	8	4	하나|씩	하나|씩:4 하나씩:4	train=8
나 줄었다.	5	4	나 줄었다.	나 줄었다.:1 나 줄었다.|:1 나 줄었다.||:1 나 줄었다.|||:1 나 줄었다.||||:1	train=5
세요.	5	4	세요.	세요.:1 세요.|:1 세요.||:1 세요.|||:1 세요.||||:1	train=5
?	51704	3	?	?:51701 ?|:3	test=510,train=50712,val=482
뭐야	445	3	뭐|야	뭐|야:442 뭐야:3	test=3,train=436,val=6
거다	70	3	거|다	거|다:67 거다:3	train=67,val=3
되죠?	67	3	되죠|?	되죠|?:64 되죠?:1 되죠?|:1 되죠?||:1	test=2,train=65
말야	57	3	말야	말야:54 말|야:3	train=56,val=1
언제부터	54	3	언제|부터	언제|부터:51 언제부터:3	test=1,train=53
마지막으로	51	3	마지막으로	마지막으로:48 마지막|으로:3	test=1,train=48,val=2
뒤로	45	3	뒤|로	뒤|로:42 뒤로:3	train=43,val=2
길이	27	3	길|이	길|이:24 길이:3	test=1,train=26
기도	24	3	기도	기도:21 기|도:3	test=1,train=23
개자식아	23	3	개자식아	개자식아:20 개자식|아:3	test=1,train=22
만이	23	3	만|이	만|이:20 만이:3	train=23
자를	23	3	자|를	자|를:20 자를:3	train=23
을요	22	3	을|요	을|요:19 을요:3	train=22
얘가	21	3	얘가	얘가:18 얘|가:3	test=1,train=20
이리로	21	3	이리로	이리로:18 이리|로:3	train=21
시죠	19	3	시죠	시죠:16 시|죠:3	train=19
3.5km	17	3	3.5km	3.5km:14 3.5|km:3	train=17
기를	17	3	기|를	기|를:14 기를:3	train=17
처럼요	17	3	처럼요	처럼요:14 처럼|요:3	train=17
누구나	16	3	누구나	누구나:13 누구|나:3	test=1,train=15
다야	16	3	다|야	다|야:13 다야:3	train=16
로요	15	3	로요	로요:12 로|요:3	train=15
알기나	15	3	알기나	알기나:12 알기|나:3	train=15
이를	15	3	이|를	이|를:12 이를:3	train=15
둘이서	13	3	둘|이서	둘|이서:10 둘이서:3	train=12,val=1
뭐였어	12	3	뭐|였어	뭐|였어:9 뭐였어:3	train=12
피는	12	3	피|는	피|는:9 피는:3	train=12
그보다	11	3	그|보다	그|보다:8 그보다:3	train=11
뭐였더라	10	3	뭐|였더라	뭐|였더라:7 뭐였더라:3	train=10
얘는	9	3	얘|는	얘|는:6 얘는:3	train=9
뭣이	8	3	뭣|이	뭣|이:5 뭣이:3	train=8
본적	8	3	본|적	본|적:5 본적:3	train=8
안은	8	3	안은	안은:5 안|은:3	train=7,val=1
개요	7	3	개|요	개|요:4 개요:3	train=6,val=1
보입니다	7	3	보|입니다	보|입니다:4 보입니다:3	test=1,train=6
실수로	7	3	실수|로	실수|로:4 실수로:3	train=7
어디요	7	3	어디|요	어디|요:4 어디요:3	train=7
그것뿐	6	3	그것뿐	그것뿐:3 그것|뿐:3	train=6
그런거	6	3	그런|거	그런|거:3 그런거:3	train=6
언제요	6	3	언제요	언제요:3 언제|요:3	train=6
오랜만에	6	3	오랜만|에	오랜만|에:3 오랜만에:3	train=6
춰!	6	3	춰|!	춰|!:3 춰!:1 춰!|:1 춰!||:1	train=6
을까?	4	3	을까?	을까?:1 을까?|:1 을까?||:1 을까?|||:1	train=4
거야	2485	2	거|야	거|야:2483 거야:2	test=20,train=2442,val=23
이야	1782	2	이야	이야:1780 이|야:2	test=19,train=1746,val=17
거죠	436	2	거|죠	거|죠:434 거죠:2	test=9,train=427
가요	206	2	가요	가요:204 가|요:2	test=1,train=205
때문에	201	2	때문에	때문에:199 때문|에:2	test=3,train=197,val=1
오는	66	2	오는	오는:64 오|는:2	train=64,val=2
애가	59	2	애|가	애|가:57 애가:2	test=1,train=57,val=1
하나요	47	2	하나요	하나요:45 하나|요:2	train=47
아!	45	2	아|!	아|!:43 아!:1 아!|:1	train=45
나다	42	2	나다	나다:40 나|다:2	train=42
걸까요	41	2	걸까요	걸까요:39 걸|까요:2	train=41
얘야	38	2	얘야	얘야:36 얘|야:2	train=37,val=1
에서는	38	2	에서|는	에서|는:36 에서는:2	test=1,train=37
언제까지	37	2	언제|까지	언제|까지:35 언제까지:2	train=37
귀도	35	2	귀|도	귀|도:33 귀도:2	train=35
살인	34	2	살인	살인:32 살|인:2	test=1,train=33
잠깐만요	31	2	잠깐만요	잠깐만요:29 잠깐만|요:1 잠깐|만요:1	train=31
최고의	30	2	최고|의	최고|의:28 최고의:2	test=1,train=29
뭐든	29	2	뭐든	뭐든:27 뭐|든:2	train=29
이시다	29	2	이시다	이시다:27 이|시다:2	train=29
테니까	29	2	테니까	테니까:27 테니|까:2	train=29
검은	28	2	검은	검은:26 검|은:2	train=28
까지는	27	2	까지|는	까지|는:25 까지는:2	train=27
입은	25	2	입은	입은:23 입|은:2	train=24,val=1
아녜요	23	2	아녜요	아녜요:21 아|녜요:2	train=23
뭐라도	22	2	뭐|라도	뭐|라도:20 뭐라도:2	train=22
개나	19	2	개|나	개|나:17 개나:2	train=19
누구보다	17	2	누구|보다	누구|보다:15 누구보다:2	train=17
에나	15	2	에나	에나:13 에|나:2	train=15
대만	14	2	대만	대만:12 대|만:2	train=14
뭐래요	14	2	뭐|래요	뭐|래요:12 뭐래요:2	train=14
한거	14	2	한|거	한|거:12 한거:2	train=14
거란	13	2	거|란	거|란:11 거란:2	train=13
뿐이지	13	2	뿐|이지	뿐|이지:11 뿐이지:2	test=1,train=11,val=1
이었던	13	2	이었던	이었던:11 이|었던:2	train=13
서부터	12	2	서부터	서부터:10 서|부터:2	train=11,val=1
만을	11	2	만|을	만|을:9 만을:2	train=11
자요	11	2	자요	자요:9 자|요:2	train=11
뭐여	10	2	뭐여	뭐여:8 뭐|여:2	train=10
우리끼리	10	2	우리끼리	우리끼리:8 우리|끼리:2	train=10
피로	10	2	피로	피로:8 피|로:2	train=10
무엇이든	9	2	무엇|이든	무엇|이든:7 무엇이든:2	train=9
뭐고	9	2	뭐고	뭐고:7 뭐|고:2	train=9
언어가	9	2	언어|가	언어|가:7 언어가:2	train=9
얼마면	9	2	얼마|면	얼마|면:7 얼마면:2	train=9
이상하네	9	2	이상하네	이상하네:7 이상하|네:2	train=9
저의	9	2	저|의	저|의:7 저의:2	train=9
거는	8	2	거는	거는:6 거|는:2	train=8
누구든	8	2	누구|든	누구|든:6 누구든:2	train=8
생각보다	8	2	생각보다	생각보다:6 생각|보다:2	train=8
왜죠	8	2	왜|죠	왜|죠:6 왜죠:2	train=8
이제부터	8	2	이제부터	이제부터:6 이제|부터:2	train=8
인거	8	2	인|거	인|거:6 인거:2	test=1,train=7
피야	8	2	피야	피야:6 피|야:2	train=8
효진이	8	2	효진|이	효진|이:6 효진이:2	train=8
갈거	7	2	갈|거	갈|거:5 갈거:2	train=5,val=2
그거요	7	2	그거|요	그거|요:5 그거요:2	train=7
기는	7	2	기|는	기|는:5 기는:2	test=1,train=6
까지도	7	2	까지|도	까지|도:5 까지도:2	train=7
까지요	7	2	까지요	까지요:5 까지|요:2	train=7
다요	7	2	다요	다요:5 다|요:2	train=7
데로	7	2	데|로	데|로:5 데로:2	train=7
불의	7	2	불의	불의:5 불|의:2	train=7
이는	7	2	이|는	이|는:5 이는:2	train=7
조차도	7	2	조차도	조차도:5 조차|도:2	train=7
공짜로	6	2	공짜로	공짜로:4 공짜|로:2	train=6
누군지도	6	2	누군지도	누군지도:4 누군지|도:2	train=6
만은	6	2	만|은	만|은:4 만은:2	train=6
보입니까	6	2	보|입니까	보|입니까:4 보입니까:2	train=6
생각엔	6	2	생각|엔	생각|엔:4 생각엔:2	train=6
실을	6	2	실을	실을:4 실|을:2	train=6
애나	6	2	애나	애나:4 애|나:2	train=6
이거면	6	2	이거면	이거면:4 이거|면:2	train=6
이럴수가	6	2	이럴수가	이럴수가:4 이럴수|가:2	train=6
일렬로	6	2	일렬|로	일렬|로:4 일렬로:2	train=6
잘들	6	2	잘들	잘들:4 잘|들:2	train=6
한지로	6	2	한지|로	한지|로:4 한지로:2	train=6
한테나	6	2	한테나	한테나:4 한테|나:2	train=6
--	5	2	--	--:3 -|-:2	train=5
감을	5	2	감|을	감|을:3 감을:2	train=5
과도	5	2	과|도	과|도:3 과도:2	train=5
데나	5	2	데|나	데|나:3 데나:2	train=5
마저도	5	2	마저도	마저도:3 마저|도:2	train=5
방식대로	5	2	방식대로	방식대로:3 방식|대로:2	test=1,train=4
백의	5	2	백의	백의:3 백|의:2	train=5
빨리해	5	2	빨리해	빨리해:3 빨리|해:2	train=5
아빠다	5	2	아빠|다	아빠|다:3 아빠다:2	train=5
악의	5	2	악의	악의:3 악|의:2	train=5
어디있는지	5	2	어디|있는지	어디|있는지:3 어디있는지:2	train=5
없이도	5	2	없이|도	없이|도:3 없이도:2	test=1,train=4
일과	5	2	일|과	일|과:3 일과:2	train=4,val=1
자야	5	2	자|야	자|야:3 자야:2	train=5
전과	5	2	전과	전과:3 전|과:2	train=5
정식으로	5	2	정식|으로	정식|으로:3 정식으로:2	train=5
현실적으로	5	2	현실적으로	현실적으로:3 현실적|으로:2	train=5
후엔	5	2	후엔	후엔:3 후|엔:2	train=5
거라구	4	2	거라구	거라구:2 거|라구:2	train=4
거랬지	4	2	거|랬지	거|랬지:2 거랬지:2	train=4
그러기로	4	2	그러기로	그러기로:2 그러기|로:2	train=4
나죠	4	2	나죠	나죠:2 나|죠:2	test=1,train=3
녀석아	4	2	녀석아	녀석아:2 녀석|아:2	train=4
말이군	4	2	말이군	말이군:2 말|이군:2	train=4
민폐려나	4	2	민폐려나	민폐려나:2 민폐|려나:2	train=4
부분적으로	4	2	부분적으로	부분적으로:2 부분적|으로:2	train=4
쇼야	4	2	쇼야	쇼야:2 쇼|야:2	train=3,val=1
식은	4	2	식은	식은:2 식|은:2	train=3,val=1
여태까지	4	2	여태까지	여태까지:2 여태|까지:2	train=4
위다	4	2	위|다	위|다:2 위다:2	train=4
줄거	4	2	줄거	줄거:2 줄|거:2	train=4
줄거야	4	2	줄거야	줄거야:2 줄거|야:1 줄|거|야:1	train=4
스파이크랬지?	3	2	스파이크랬지?	스파이크랬지?:1 스파이크랬지?|:1 스파이크랬지?||:1	train=3
습니다.	3	2	습니다.	습니다.:1 습니다.|:1 습니다.||:1	train=3
에서	2802	1	에서	에서:2801 에|서:1	test=27,train=2735,val=40
그는	422	1	그|는	그|는:421 그는:1	test=4,train=415,val=3
인가	419	1	인가	인가:418 인|가:1	test=6,train=409,val=4
아니야	351	1	아니야	아니야:350 아니|야:1	test=4,train=346,val=1
얘기	347	1	얘기	얘기:346 얘|기:1	test=8,train=336,val=3
제가	285	1	제|가	제|가:284 제가:1	test=2,train=280,val=3
가는	227	1	가는	가는:226 가|는:1	test=2,train=225
우리는	212	1	우리|는	우리|는:211 우리는:1	train=209,val=3
나도	190	1	나|도	나|도:189 나도:1	test=2,train=186,val=2
이라도	184	1	이라도	이라도:183 이|라도:1	train=182,val=2
그의	140	1	그|의	그|의:139 그의:1	test=4,train=136
뭐죠	137	1	뭐|죠	뭐|죠:136 뭐죠:1	test=3,train=133,val=1
거라고	136	1	거|라고	거|라고:135 거라고:1	train=133,val=3
누군지	88	1	누군지	누군지:87 누군|지:1	train=88
이름을	83	1	이름|을	이름|을:82 이름을:1	test=1,train=78,val=4
그만해	80	1	그만해	그만해:79 그만|해:1	test=1,train=79
뭐하는	67	1	뭐하는	뭐하는:66 뭐하|는:1	train=67
이것은	57	1	이것|은	이것|은:56 이것은:1	train=56,val=1
저놈	57	1	저놈	저놈:56 저|놈:1	train=57
일로	47	1	일|로	일|로:46 일로:1	test=1,train=46
여기까지	41	1	여기|까지	여기|까지:40 여기까지:1	train=41
주는	41	1	주는	주는:40 주|는:1	train=40,val=1
나야	38	1	나|야	나|야:37 나야:1	test=1,train=37
이놈	34	1	이놈	이놈:33 이|놈:1	test=1,train=33
그것은	33	1	그것|은	그것|은:32 그것은:1	test=1,train=32
였죠	31	1	였죠	였죠:30 였|죠:1	train=30,val=1
여기는	29	1	여기|는	여기|는:28 여기는:1	train=28,val=1
다음에	28	1	다음|에	다음|에:27 다음에:1	train=28
종이	26	1	종이	종이:25 종|이:1	train=26
한테는	26	1	한테|는	한테|는:25 한테는:1	train=26
리가	23	1	리|가	리|가:22 리가:1	train=23
뭘까요	23	1	뭘까요	뭘까요:22 뭘|까요:1	train=23
막을	22	1	막을	막을:21 막|을:1	train=22
약은	20	1	약|은	약|은:19 약은:1	train=20
전화해	20	1	전화해	전화해:19 전화|해:1	train=19,val=1
나더러	19	1	나더러	나더러:18 나|더러:1	train=19
너나	19	1	너|나	너|나:18 너나:1	train=19
여기선	19	1	여기선	여기선:18 여기|선:1	train=19
꺼지라고	18	1	꺼지라고	꺼지라고:17 꺼지|라고:1	train=18
새끼들아	18	1	새끼들아	새끼들아:17 새끼들|아:1	train=18
있다고요	18	1	있다고요	있다고요:17 있다|고요:1	test=1,train=17
랑은	17	1	랑|은	랑|은:16 랑은:1	train=17
배우는	17	1	배우는	배우는:16 배우|는:1	train=16,val=1
배지	17	1	배지	배지:16 배|지:1	test=1,train=16
덕분에	16	1	덕분|에	덕분|에:15 덕분에:1	train=16
뭐래	15	1	뭐래	뭐래:14 뭐|래:1	train=15
송은	15	1	송|은	송|은:14 송은:1	test=1,train=14
걔는	14	1	걔|는	걔|는:13 걔는:1	train=14
거시기	14	1	거시기	거시기:13 거시|기:1	train=13,val=1
누군가는	14	1	누군가|는	누군가|는:13 누군가는:1	train=14
만의	14	1	만|의	만|의:13 만의:1	train=14
서도	14	1	서|도	서|도:13 서도:1	train=14
아래로	14	1	아래|로	아래|로:13 아래로:1	train=14
그만들	13	1	그만들	그만들:12 그만|들:1	test=1,train=12
데는	13	1	데|는	데|는:12 데는:1	test=1,train=12
만요	13	1	만요	만요:12 만|요:1	train=13
뭐라고요	13	1	뭐라고요	뭐라고요:12 뭐|라고요:1	train=13
뭐였지	13	1	뭐|였지	뭐|였지:12 뭐였지:1	train=13
애야	13	1	애|야	애|야:12 애야:1	train=13
나한텐	12	1	나한텐	나한텐:11 나|한텐:1	train=12
들을	12	1	들을	들을:11 들|을:1	train=12
만으로	12	1	만|으로	만|으로:11 만으로:1	train=12
애초에	12	1	애초에	애초에:11 애초|에:1	train=12
전엔	12	1	전엔	전엔:11 전|엔:1	train=12
차요	12	1	차요	차요:11 차|요:1	train=12
거네	11	1	거|네	거|네:10 거네:1	train=11
대위님	11	1	대위님	대위님:10 대위|님:1	train=11
물론이지	11	1	물론|이지	물론|이지:10 물론이지:1	train=11
부를까요	11	1	부를까요	부를까요:10 부|를|까요:1	test=1,train=10
성과	11	1	성과	성과:10 성|과:1	train=11
안해	11	1	안해	안해:10 안|해:1	train=11
으로도	11	1	으로|도	으로|도:10 으로도:1	train=11
이기도	11	1	이기도	이기도:10 이기|도:1	train=11
이전에	11	1	이전|에	이전|에:10 이전에:1	train=11
채로	11	1	채로	채로:10 채|로:1	train=11
한테만	11	1	한테|만	한테|만:10 한테만:1	train=11
가지만	10	1	가지|만	가지|만:9 가지만:1	train=10
보죠	10	1	보죠	보죠:9 보|죠:1	test=1,train=9
신은	10	1	신|은	신|은:9 신은:1	train=10
애들아	10	1	애들아	애들아:9 애들|아:1	train=10
잘도	10	1	잘도	잘도:9 잘|도:1	train=10
쟤는	10	1	쟤|는	쟤|는:9 쟤는:1	train=10
간에	9	1	간에	간에:8 간|에:1	train=9
거나	9	1	거나	거나:8 거|나:1	train=9
누구겠어	9	1	누구겠어	누구겠어:8 누구|겠어:1	train=9
누구와	9	1	누구|와	누구|와:8 누구와:1	train=8,val=1
달리기	9	1	달리기	달리기:8 달리|기:1	train=9
될거야	9	1	될거야	될거야:8 될거|야:1	train=9
말인데	9	1	말|인데	말|인데:8 말인데:1	train=9
바다가	9	1	바다|가	바다|가:8 바다가:1	train=9
밤엔	9	1	밤엔	밤엔:8 밤|엔:1	train=9
뿐만	9	1	뿐만	뿐만:8 뿐|만:1	train=9
소리요	9	1	소리|요	소리|요:8 소리요:1	train=9
에만	9	1	에|만	에|만:8 에만:1	train=9
그거로	8	1	그거|로	그거|로:7 그거로:1	train=8
대해서는	8	1	대해서|는	대해서|는:7 대해서는:1	train=8
말이요	8	1	말|이요	말|이요:7 말이요:1	train=7,val=1
보고만	8	1	보고만	보고만:7 보고|만:1	test=1,train=7
아정이	8	1	아정|이	아정|이:7 아정이:1	train=8
안되는	8	1	안되는	안되는:7 안|되는:1	train=8
어쨌어	8	1	어쨌어	어쨌어:7 어쨌|어:1	train=8
에게나	8	1	에게|나	에게|나:7 에게나:1	train=8
정말요	8	1	정말요	정말요:7 정말|요:1	train=8
차야	8	1	차|야	차|야:7 차야:1	train=8
개면	7	1	개|면	개|면:6 개면:1	train=7
계획대로	7	1	계획대로	계획대로:6 계획|대로:1	train=7
너머로	7	1	너머|로	너머|로:6 너머로:1	test=1,train=6
당신에겐	7	1	당신|에겐	당신|에겐:6 당신에겐:1	train=7
말이니	7	1	말|이니	말|이니:6 말이니:1	train=7
모든걸	7	1	모든걸	모든걸:6 모든|걸:1	train=7
문도	7	1	문|도	문|도:6 문도:1	train=7
반대로	7	1	반대로	반대로:6 반대|로:1	train=7
배우다	7	1	배우다	배우다:6 배우|다:1	train=7
안다는	7	1	안다는	안다는:6 안다|는:1	train=7
이보다	7	1	이보다	이보다:6 이|보다:1	test=1,train=6
지난번에	7	1	지난번|에	지난번|에:6 지난번에:1	train=7
한마디로	7	1	한마디|로	한마디|로:6 한마디로:1	train=7
거라고는	6	1	거|라고는	거|라고는:5 거라고는:1	train=6
고맙다고	6	1	고맙다고	고맙다고:5 고맙다|고:1	train=6
남을	6	1	남을	남을:5 남|을:1	train=6
너지	6	1	너|지	너|지:5 너지:1	train=6
년간	6	1	년|간	년|간:5 년간:1	train=6
누구니	6	1	누구|니	누구|니:5 누구니:1	train=6
당장요	6	1	당장요	당장요:5 당장|요:1	train=6
뒤엔	6	1	뒤엔	뒤엔:5 뒤|엔:1	train=6
만도	6	1	만|도	만|도:5 만도:1	train=6
뭔지는	6	1	뭔지는	뭔지는:5 뭔지|는:1	train=6
분만	6	1	분|만	분|만:5 분만:1	train=6
상병님	6	1	상병님	상병님:5 상병|님:1	train=6
수의	6	1	수의	수의:5 수|의:1	train=5,val=1
시노	6	1	시노	시노:5 시|노:1	train=6
어딘가에	6	1	어딘가|에	어딘가|에:5 어딘가에:1	train=6
저것은	6	1	저것|은	저것|은:5 저것은:1	train=6
줄로	6	1	줄|로	줄|로:5 줄로:1	train=6
진짜요	6	1	진짜|요	진짜|요:5 진짜요:1	train=6
집엔	6	1	집엔	집엔:5 집|엔:1	train=6
탈래요	6	1	탈래요	탈래요:5 탈래|요:1	train=6
한가지	6	1	한가지	한가지:5 한|가지:1	train=6
함께라면	6	1	함께라면	함께라면:5 함께|라면:1	train=6
강의	5	1	강의	강의:4 강|의:1	train=5
경의	5	1	경|의	경|의:4 경의:1	train=5
그건가	5	1	그건가	그건가:4 그건|가:1	train=5
기로	5	1	기로	기로:4 기|로:1	train=5
내말	5	1	내말	내말:4 내|말:1	train=4,val=1
둘다	5	1	둘다	둘다:4 둘|다:1	train=5
때로	5	1	때로	때로:4 때|로:1	train=5
마리오	5	1	마리오	마리오:4 마리|오:1	train=5
만약에	5	1	만약에	만약에:4 만약|에:1	train=5
만에	5	1	만|에	만|에:4 만에:1	train=5
무엇보다	5	1	무엇보다	무엇보다:4 무엇|보다:1	train=5
뭣을	5	1	뭣|을	뭣|을:4 뭣을:1	train=5
알기는	5	1	알기는	알기는:4 알기|는:1	train=5
어디냐고	5	1	어디|냐고	어디|냐고:4 어디냐고:1	train=5
얼마만	5	1	얼마만	얼마만:4 얼마|만:1	train=5
왜지	5	1	왜|지	왜|지:4 왜지:1	train=5
인지는	5	1	인지는	인지는:4 인지|는:1	train=5
있었다고요	5	1	있었다고요	있었다고요:4 있었다|고요:1	train=5
자발적으로	5	1	자발적으로	자발적으로:4 자발적|으로:1	train=5
